"","Country.Name","Country.Code","Region","IncomeGroup","year","numberRefs","popn","gdp"
"1","Aruba","ABW","Latin America & Caribbean","High income: nonOECD","1990",NA,62148,NA
"2","Andorra","AND","Europe & Central Asia","High income: nonOECD","1990",NA,54511,NA
"3","Afghanistan","AFG","South Asia","Low income","1990",50,12067570,NA
"4","Angola","AGO","Sub-Saharan Africa","Upper middle income","1990",11557,11127870,NA
"5","Albania","ALB","Europe & Central Asia","Upper middle income","1990",NA,3286542,2748.62568731674
"6","Arab World","ARB","","","1990",4235545,221928852,6510.86076980784
"7","United Arab Emirates","ARE","Middle East & North Africa","High income: nonOECD","1990",NA,1811458,74017.3006503727
"8","Argentina","ARG","Latin America & Caribbean","High income: nonOECD","1990",11735,32729740,NA
"9","Armenia","ARM","Europe & Central Asia","Lower middle income","1990",NA,3544695,2414.40492609072
"10","American Samoa","ASM","East Asia & Pacific","Upper middle income","1990",NA,47044,NA
"11","Antigua and Barbuda","ATG","Latin America & Caribbean","High income: nonOECD","1990",NA,61906,11087.0174694648
"12","Australia","AUS","East Asia & Pacific","High income: OECD","1990",97915,17065100,17362.3771306073
"13","Austria","AUT","Europe & Central Asia","High income: OECD","1990",34938,7677850,19490.937244881
"14","Azerbaijan","AZE","Europe & Central Asia","Upper middle income","1990",NA,7159000,5502.43398864152
"15","Burundi","BDI","Sub-Saharan Africa","Low income","1990",268403,5613141,678.120563155809
"16","Belgium","BEL","Europe & Central Asia","High income: OECD","1990",25911,9967379,19052.8751883483
"17","Benin","BEN","Sub-Saharan Africa","Low income","1990",456,5001271,941.071648800037
"18","Burkina Faso","BFA","Sub-Saharan Africa","Low income","1990",350,8811033,530.785575624958
"19","Bangladesh","BGD","South Asia","Lower middle income","1990",145,105983136,834.048208314477
"20","Bulgaria","BGR","Europe & Central Asia","Upper middle income","1990",NA,8718289,5402.64251450759
"21","Bahrain","BHR","Middle East & North Africa","High income: nonOECD","1990",1780,495944,22879.1475071466
"22","Bahamas, The","BHS","Latin America & Caribbean","High income: nonOECD","1990",NA,256338,15693.3786243117
"23","Bosnia and Herzegovina","BIH","Europe & Central Asia","Upper middle income","1990",NA,4526996,NA
"24","Belarus","BLR","Europe & Central Asia","Upper middle income","1990",NA,10189000,5224.69991936711
"25","Belize","BLZ","Latin America & Caribbean","Upper middle income","1990",30657,187552,3338.87066953944
"26","Bermuda","BMU","North America","High income: nonOECD","1990",NA,59326,26210.9109007466
"27","Bolivia","BOL","Latin America & Caribbean","Lower middle income","1990",200,6856246,2396.11426794164
"28","Brazil","BRA","Latin America & Caribbean","Upper middle income","1990",5335,150393143,6622.21884128584
"29","Barbados","BRB","Latin America & Caribbean","High income: nonOECD","1990",NA,260374,8593.94401572932
"30","Brunei Darussalam","BRN","East Asia & Pacific","High income: nonOECD","1990",NA,256939,49815.0432739985
"31","Bhutan","BTN","South Asia","Lower middle income","1990",NA,535505,1507.86214869201
"32","Botswana","BWA","Sub-Saharan Africa","Upper middle income","1990",1179,1379814,5234.82146277016
"33","Central African Republic","CAF","Sub-Saharan Africa","Low income","1990",4284,2937832,604.822631221477
"34","Canada","CAN","North America","High income: OECD","1990",154761,27791000,20019.8273908383
"35","Central Europe and the Baltics","CEB","","","1990",45123,110745760,6837.66660829561
"36","Switzerland","CHE","Europe & Central Asia","High income: OECD","1990",40943,6715519,26734.0125751395
"37","Channel Islands","CHI","Europe & Central Asia","High income: nonOECD","1990",NA,140669,NA
"38","Chile","CHL","Latin America & Caribbean","High income: OECD","1990",58,13141202,4407.20447861333
"39","China","CHN","East Asia & Pacific","Upper middle income","1990",287276,1135185000,979.978983193656
"40","Cote d'Ivoire","CIV","Sub-Saharan Africa","Lower middle income","1990",272281,12165909,2081.512055306
"41","Cameroon","CMR","Sub-Saharan Africa","Lower middle income","1990",49876,12070359,1789.25837349077
"42","Congo, Rep.","COG","Sub-Saharan Africa","Lower middle income","1990",2990,2386467,3397.58607120388
"43","Colombia","COL","Latin America & Caribbean","Upper middle income","1990",460,34271563,4869.162130875
"44","Comoros","COM","Sub-Saharan Africa","Low income","1990",NA,415144,989.834059298943
"45","Cabo Verde","CPV","Sub-Saharan Africa","Lower middle income","1990",NA,341256,1072.88120739767
"46","Costa Rica","CRI","Latin America & Caribbean","Upper middle income","1990",276210,3095994,4712.55923111641
"47","Caribbean small states","CSS","","","1990",30657,5960368,5867.64578334013
"48","Cuba","CUB","Latin America & Caribbean","Upper middle income","1990",3988,10582082,8851.15119725301
"49","Curacao","CUW","Latin America & Caribbean","High income: nonOECD","1990",NA,145400,NA
"50","Cayman Islands","CYM","Latin America & Caribbean","High income: nonOECD","1990",NA,25009,NA
"51","Cyprus","CYP","Europe & Central Asia","High income: nonOECD","1990",33,766611,13189.4473613114
"52","Czech Republic","CZE","Europe & Central Asia","High income: OECD","1990",NA,10333355,12716.2688532518
"53","Germany","DEU","Europe & Central Asia","High income: OECD","1990",816000,79433029,19032.6960596972
"54","Djibouti","DJI","Middle East & North Africa","Lower middle income","1990",77606,588356,2011.66958279446
"55","Dominica","DMA","Latin America & Caribbean","Upper middle income","1990",NA,70928,4344.91509041423
"56","Denmark","DNK","Europe & Central Asia","High income: OECD","1990",32906,5140939,18773.2194047768
"57","Dominican Republic","DOM","Latin America & Caribbean","Upper middle income","1990",1966,7183646,3440.59779155053
"58","Algeria","DZA","Middle East & North Africa","Upper middle income","1990",169110,25912364,6650.1327299425
"59","East Asia & Pacific (developing only)","EAP","","","1990",453346,1603652723,1417.95640870856
"60","East Asia & Pacific (all income levels)","EAS","","","1990",571488,1820607735,3161.09828590737
"61","Europe & Central Asia (developing only)","ECA","","","1990",28000,237276047,5041.91431989318
"62","Europe & Central Asia (all income levels)","ECS","","","1990",1439045,842945339,11415.0975645463
"63","Ecuador","ECU","Latin America & Caribbean","Upper middle income","1990",510,10218085,4829.4195591217
"64","Egypt, Arab Rep.","EGY","Middle East & North Africa","Lower middle income","1990",1991,56397273,3887.24153241224
"65","Euro area","EMU","","","1990",1119112,311522808,16773.1732354732
"66","Eritrea","ERI","Sub-Saharan Africa","Low income","1990",NA,3139083,NA
"67","Spain","ESP","Europe & Central Asia","High income: OECD","1990",8303,38850435,13691.8315783669
"68","Estonia","EST","Europe & Central Asia","High income: OECD","1990",NA,1569174,NA
"69","Ethiopia","ETH","Sub-Saharan Africa","Low income","1990",773764,48057094,421.636804384769
"70","European Union","EUU","","","1990",1350436,477988417,14924.7266896542
"71","Fragile and conflict affected situations","FCS","","","1990",4293183,259402603,1838.15589280152
"72","Finland","FIN","Europe & Central Asia","High income: OECD","1990",2348,4986431,17906.1394804034
"73","Fiji","FJI","East Asia & Pacific","Upper middle income","1990",NA,728626,4033.79957195693
"74","France","FRA","Europe & Central Asia","High income: OECD","1990",193000,58512808,17505.2919840021
"75","Faroe Islands","FRO","Europe & Central Asia","High income: nonOECD","1990",NA,48031,NA
"76","Micronesia, Fed. Sts.","FSM","East Asia & Pacific","Lower middle income","1990",NA,96331,1785.85372967711
"77","Gabon","GAB","Sub-Saharan Africa","Upper middle income","1990",417,952269,12399.8633274251
"78","United Kingdom","GBR","Europe & Central Asia","High income: OECD","1990",43632,57247586,17446.3076798204
"79","Georgia","GEO","Europe & Central Asia","Lower middle income","1990",NA,4802000,5182.49113188979
"80","Ghana","GHA","Sub-Saharan Africa","Lower middle income","1990",8123,14628260,1240.69873117891
"81","Guinea","GIN","Sub-Saharan Africa","Low income","1990",325000,6034082,727.271403011978
"82","Gambia, The","GMB","Sub-Saharan Africa","Low income","1990",78,916811,980.460959631056
"83","Guinea-Bissau","GNB","Sub-Saharan Africa","Low income","1990",3004,1056208,973.854771228099
"84","Equatorial Guinea","GNQ","Sub-Saharan Africa","High income: nonOECD","1990",NA,377363,682.541906629094
"85","Greece","GRC","Europe & Central Asia","High income: OECD","1990",8488,10196792,13250.8674835483
"86","Grenada","GRD","Latin America & Caribbean","Upper middle income","1990",NA,96286,4840.28563989838
"87","Greenland","GRL","Europe & Central Asia","High income: nonOECD","1990",NA,55600,NA
"88","Guatemala","GTM","Latin America & Caribbean","Lower middle income","1990",223377,9158547,3334.69121721713
"89","Guam","GUM","East Asia & Pacific","High income: nonOECD","1990",NA,130482,NA
"90","Guyana","GUY","Latin America & Caribbean","Lower middle income","1990",NA,720282,1892.50541399422
"91","High income","HIC","","","1990",2164245,1203174836,16400.0589760113
"92","Hong Kong SAR, China","HKG","East Asia & Pacific","High income: nonOECD","1990",8161,5704500,17434.4387375371
"93","Honduras","HND","Latin America & Caribbean","Lower middle income","1990",237100,4903363,2071.68107512938
"94","Heavily indebted poor countries (HIPC)","HPC","","","1990",5630764,354714206,945.682125049157
"95","Croatia","HRV","Europe & Central Asia","High income: nonOECD","1990",NA,4780000,NA
"96","Haiti","HTI","Latin America & Caribbean","Low income","1990",NA,7099733,NA
"97","Hungary","HUN","Europe & Central Asia","High income: OECD","1990",45123,10373988,NA
"98","Indonesia","IDN","East Asia & Pacific","Lower middle income","1990",3278,181436821,2893.83349995522
"99","Isle of Man","IMN","Europe & Central Asia","High income: nonOECD","1990",NA,70312,NA
"100","India","IND","South Asia","Lower middle income","1990",212743,870601776,1146.027972402
"101","Not classified","INX",NA,NA,"1990",NA,NA,NA
"102","Ireland","IRL","Europe & Central Asia","High income: OECD","1990",360,3513974,13384.2687487988
"103","Iran, Islamic Rep.","IRN","Middle East & North Africa","Upper middle income","1990",4174401,56169196,6575.58357862254
"104","Iraq","IRQ","Middle East & North Africa","Upper middle income","1990",900,17478455,7442.84886492214
"105","Iceland","ISL","Europe & Central Asia","High income: OECD","1990",85,254826,21806.8223890515
"106","Israel","ISR","Middle East & North Africa","High income: OECD","1990",NA,4660000,13381.0790716503
"107","Italy","ITA","Europe & Central Asia","High income: OECD","1990",10840,56719240,18279.5179110322
"108","Jamaica","JAM","Latin America & Caribbean","Upper middle income","1990",NA,2390000,4774.23699053261
"109","Jordan","JOR","Middle East & North Africa","Upper middle income","1990",929737,3170000,4561.47006082479
"110","Japan","JPN","East Asia & Pacific","High income: OECD","1990",6819,123537000,19229.6658066199
"111","Kazakhstan","KAZ","Europe & Central Asia","Upper middle income","1990",NA,16348000,8226.85346619576
"112","Kenya","KEN","Sub-Saharan Africa","Lower middle income","1990",14249,23446229,1535.66845776482
"113","Kyrgyz Republic","KGZ","Europe & Central Asia","Lower middle income","1990",NA,4391200,2245.79271552355
"114","Cambodia","KHM","East Asia & Pacific","Low income","1990",NA,9008856,NA
"115","Kiribati","KIR","East Asia & Pacific","Lower middle income","1990",NA,72411,921.464070790357
"116","St. Kitts and Nevis","KNA","Latin America & Caribbean","High income: nonOECD","1990",NA,40833,9268.96872253691
"117","Korea, Rep.","KOR","East Asia & Pacific","High income: OECD","1990",230,42869283,8436.24601419891
"118","Kosovo","KSV","Europe & Central Asia","Lower middle income","1990",NA,1862000,NA
"119","Kuwait","KWT","Middle East & North Africa","High income: nonOECD","1990",NA,2058832,NA
"120","Latin America & Caribbean (developing only)","LAC","","","1990",1174643,371398873,5570.60555124616
"121","Lao PDR","LAO","East Asia & Pacific","Lower middle income","1990",NA,4247839,1047.77352314969
"122","Lebanon","LBN","Middle East & North Africa","Upper middle income","1990",304599,2703019,4998.9689020626
"123","Liberia","LBR","Sub-Saharan Africa","Low income","1990",NA,2102877,NA
"124","Libya","LBY","Middle East & North Africa","Upper middle income","1990",NA,4398419,NA
"125","St. Lucia","LCA","Latin America & Caribbean","Upper middle income","1990",NA,138180,5178.63454598228
"126","Latin America & Caribbean (all income levels)","LCN","","","1990",1188273,445998222,5933.05658049327
"127","Least developed countries: UN classification","LDC","","","1990",5154454,510057629,818.612697139577
"128","Low income","LIC","","","1990",3965732,323227228,721.306808175751
"129","Liechtenstein","LIE","Europe & Central Asia","High income: nonOECD","1990",NA,28745,NA
"130","Sri Lanka","LKA","South Asia","Lower middle income","1990",NA,17015000,2377.95844131992
"131","Lower middle income","LMC","","","1990",6976156,1899363670,1782.61466339928
"132","Low & middle income","LMY","","","1990",17641443,4079579129,2163.36352372408
"133","Lesotho","LSO","Sub-Saharan Africa","Lower middle income","1990",214,1597534,840.582862989862
"134","Lithuania","LTU","Europe & Central Asia","High income: nonOECD","1990",NA,3697838,NA
"135","Luxembourg","LUX","Europe & Central Asia","High income: OECD","1990",687,381850,32083.1862583608
"136","Latvia","LVA","Europe & Central Asia","High income: nonOECD","1990",NA,2663151,NA
"137","Macao SAR, China","MAC","East Asia & Pacific","High income: nonOECD","1990",205,359735,23903.9004115871
"138","St. Martin (French part)","MAF","Latin America & Caribbean","High income: nonOECD","1990",NA,30036,NA
"139","Morocco","MAR","Middle East & North Africa","Lower middle income","1990",311,24950128,2541.87774900028
"140","Monaco","MCO","Europe & Central Asia","High income: nonOECD","1990",NA,29438,NA
"141","Moldova","MDA","Europe & Central Asia","Lower middle income","1990",NA,3696000,4162.20045607713
"142","Madagascar","MDG","Sub-Saharan Africa","Low income","1990",NA,11545782,1073.38225482041
"143","Maldives","MDV","South Asia","Upper middle income","1990",NA,218000,NA
"144","Middle East & North Africa (all income levels)","MEA","","","1990",6858896,254342990,7244.96487926823
"145","Mexico","MEX","Latin America & Caribbean","Upper middle income","1990",356400,85609404,6019.26221145308
"146","Marshall Islands","MHL","East Asia & Pacific","Upper middle income","1990",NA,47300,1952.34011398443
"147","Middle income","MIC","","","1990",13675711,3756351901,2290.84544026275
"148","Macedonia, FYR","MKD","Europe & Central Asia","Upper middle income","1990",NA,1996227,5316.04052894089
"149","Mali","MLI","Sub-Saharan Africa","Low income","1990",13411,8482075,708.167387051714
"150","Malta","MLT","Middle East & North Africa","High income: nonOECD","1990",NA,354170,10926.2793424892
"151","Myanmar","MMR","East Asia & Pacific","Lower middle income","1990",NA,42007309,NA
"152","Middle East & North Africa (developing only)","MNA","","","1990",6857116,226312496,5088.66727129915
"153","Montenegro","MNE","Europe & Central Asia","Upper middle income","1990",NA,606372,NA
"154","Mongolia","MNG","East Asia & Pacific","Upper middle income","1990",NA,2184145,3310.86142519022
"155","Northern Mariana Islands","MNP","East Asia & Pacific","High income: nonOECD","1990",NA,43972,NA
"156","Mozambique","MOZ","Sub-Saharan Africa","Low income","1990",420,13371971,242.384560419861
"157","Mauritania","MRT","Sub-Saharan Africa","Lower middle income","1990",60000,2023665,1810.16506170001
"158","Mauritius","MUS","Sub-Saharan Africa","Upper middle income","1990",NA,1058775,4891.31468957074
"159","Malawi","MWI","Sub-Saharan Africa","Low income","1990",926725,9408998,350.643319839111
"160","Malaysia","MYS","East Asia & Pacific","Upper middle income","1990",14862,18211097,6755.13140486938
"161","North America","NAC","","","1990",619648,277473326,23560.8773850892
"162","Namibia","NAM","Sub-Saharan Africa","Upper middle income","1990",NA,1415447,3694.58916547012
"163","New Caledonia","NCL","East Asia & Pacific","High income: nonOECD","1990",NA,170899,NA
"164","Niger","NER","Sub-Saharan Africa","Low income","1990",792,7911884,585.360742467173
"165","Nigeria","NGA","Sub-Saharan Africa","Lower middle income","1990",3571,95617345,1958.68657046887
"166","Nicaragua","NIC","Latin America & Caribbean","Lower middle income","1990",16000,4144564,1951.86276455207
"167","Netherlands","NLD","Europe & Central Asia","High income: OECD","1990",17337,14951510,18791.5848896987
"168","High income: nonOECD","NOC","","","1990",23897,276140110,10441.4913555829
"169","Norway","NOR","Europe & Central Asia","High income: OECD","1990",19581,4241473,18255.4015215931
"170","Nepal","NPL","South Asia","Low income","1990",17800,18741688,774.592099597241
"171","New Zealand","NZL","East Asia & Pacific","High income: OECD","1990",4666,3329800,14855.4460882478
"172","High income: OECD","OEC","","","1990",2140348,927034726,18223.1025971796
"173","OECD members","OED","","","1990",2524748,1066638735,16545.5662584278
"174","Oman","OMN","Middle East & North Africa","High income: nonOECD","1990",NA,1812159,22645.2452628061
"175","Other small states","OSS","","","1990",124572,13245388,3287.9489224405
